timestamp,model,dataset,method,words_to_replace,num_perturbations,sample_size,seed,ootb_accuracy,prompt_style,variation_ratio,accuracy
20260328_235223,llama-3.2-1b-instruct,cola,synonym,3,20,500,2266,0.6869,control,0.0366,0.6740
20260328_235223,llama-3.2-1b-instruct,cola,synonym,3,20,500,2266,0.6869,metacognition,0.0000,0.0040
20260328_235223,llama-3.2-1b-instruct,cola,synonym,3,20,500,2266,0.6869,structure,0.1282,0.4760
20260328_235223,llama-3.2-1b-instruct,cola,synonym,3,20,500,2266,0.6869,politeness,0.0019,0.6700
20260328_235232,llama-3.2-1b-instruct,cola,synonym,1,20,500,2266,0.6869,control,0.0360,0.6740
20260328_235232,llama-3.2-1b-instruct,cola,synonym,1,20,500,2266,0.6869,metacognition,0.0000,0.0040
20260328_235232,llama-3.2-1b-instruct,cola,synonym,1,20,500,2266,0.6869,structure,0.1336,0.4800
20260328_235232,llama-3.2-1b-instruct,cola,synonym,1,20,500,2266,0.6869,politeness,0.0012,0.6700
20260328_235634,llama-3.2-1b-instruct,cola,synonym,1,20,500,86379,0.6900,control,0.0277,0.7180
20260328_235634,llama-3.2-1b-instruct,cola,synonym,1,20,500,86379,0.6900,metacognition,0.0000,0.0040
20260328_235634,llama-3.2-1b-instruct,cola,synonym,1,20,500,86379,0.6900,structure,0.1341,0.4740
20260328_235634,llama-3.2-1b-instruct,cola,synonym,1,20,500,86379,0.6900,politeness,0.0005,0.7140
20260329_000655,llama-3.2-1b-instruct,cola,synonym,5,20,500,86379,0.6900,control,0.0293,0.7180
20260329_000655,llama-3.2-1b-instruct,cola,synonym,5,20,500,86379,0.6900,metacognition,0.0000,0.0040
20260329_000655,llama-3.2-1b-instruct,cola,synonym,5,20,500,86379,0.6900,structure,0.1200,0.4800
20260329_000655,llama-3.2-1b-instruct,cola,synonym,5,20,500,86379,0.6900,politeness,0.0027,0.7140
20260329_000710,llama-3.2-1b-instruct,cola,synonym,5,20,500,105,0.7000,control,0.0350,0.6820
